20.5, 1.8, b^-, 2.9, Zr-102, None
20.559, 1.6, b^-, 456.0, Tc-105, None
20.752, 0.19, e, 27670464.000000004, Yb-169, None
20.8, 135.0, b^-, 1.22, Xe-142, None
20.86, 0.404, b^-, 3324.0, Te-133m, None
21.005, 0.014, e+b^+, 35640.0, Dy-155, None
21.01, 0.0078, IT, 21643200.0, Hf-179m2, None
21.036, 0.00047, b^-, 150146049.6, Eu-155, None
21.036, 0.0016, e, 4596480.0, Tb-155, None
21.036, 0.0375, IT, 0.03197, Gd-155m, None
21.1, 0.067, a, 2298.0, Pa-227, None
21.16, 0.0032, e+b^+, 3090.0, Lu-167, None
21.2, 0.022, e, 207705600.0, Gd-153, None
21.5, 3.3, ep, 4.6, Er-148, None
21.542, 0.031, b^-, 2838240000.0, Sm-151, None
21.542, 2.85, e, 107136000.0, Gd-151, None
21.58, 0.007, a, 231474240000.0, Th-229, None
21.6, 10.3, IT, 0.10300000000000001, Te-117m, None
21.65, 1.26, b^-, 3153600000000.0, Sn-126, None
21.8, 2.2, IT, 0.114, La-136m, None
22.1, 1.76, e+b^+, 258.0, Kr-75, None
22.15, 5.1e-05, e+b^+, 2880.0, Ho-155, None
22.15, 0.0109, e+b^+, 2880.0, Ho-155, None
22.2, 0.035, e+b^+, 11304.0, Ta-173, None
22.3, 0.13, a, 2298.0, Pa-227, None
22.33, 1.56, e+b^+, 8135.999999999999, Ge-66, None
22.48, 3.0, e+b^+, 37.6, Hf-162, None
22.5, 0.43, b^-, 10.2, Zn-75, None
22.51, 0.05, b^-, 191088.0, Pm-149, None
22.51, 0.77, b^-, 18.9, Pr-151, None
22.51, 2.32, e, 80438400.0, Eu-149, None
22.525, 2.6, b^-, 33840.0, Sm-156, None
22.56, 0.024, e+b^+, 5976.0, Po-205, None
22.7, 0.0045, e, 2730240.0, Ce-134, None
22.7, 0.0054, b^-, 6220.8, Nd-149, None
22.7, 0.1, b^-, 3153600000000.0, Sn-126, None
22.7, 0.14, IT, 11.0, Sb-126m2, None
22.8, 0.39, e+b^+, 11.4, Au-181, None
22.8, 0.45, b^-, 2.29, I-139, None
22.88, 0.011, b^-, 811.1999999999999, Ce-146, None
22.92, 3.0, e+b^+, 1074.0, Dy-151, None
22.92, 3.1, IT, 25.0, Tb-151m, None
23.0, 2.6, b^-, 8.4, Mo-106, None
23.001, 0.15, a, 72252.0, Fm-255, None
23.1, 0.037, IT, 6732.0, Tl-198m, None
23.1, 0.081, IT, 0.032100000000000004, Tl-198m2, None
23.132, 0.026, e+b^+, 35640.0, Dy-155, None
23.28, 6.4, b^-, 3153600000000.0, Sn-126, None
23.3, 0.0024, a, 79200.0, Pa-228, None
23.39, 22.7, e+b^+, 38.6, Yb-157, None
23.4, 43.0, e+b^+, 4.1, Ce-128, None
23.438, 0.0185, e+b^+, 235008.0, As-71, None
23.438, 0.48, IT, 0.020399999999999998, Ge-71m, None
23.5, 1.81, IT, 0.0011, Ta-176m, None
23.53, 0.16, a, 1200.0, Fr-212, None
