5.276, Ce, L_{b4}
5.281, Cs, L_{g1}
5.295, Cr, K_{a3}
5.307, Xe, L_{g2}
5.307, Xe, L_{g3}
5.362, Gd, L_{l}
5.363, Pm, L_{h}
5.363, Ce, L_{b3}
5.384, La, L_{b2}
5.405, Cr, K_{a2}
5.408, Pm, L_{a2}
5.415, Cr, K_{a1}
5.427, V, K_{b3}
5.427, V, K_{b1}
5.432, Pm, L_{a1}
5.434, Ce, L_{b6}
5.463, V, K_{b5}
5.465, V, K_{b4}
5.483, La, L_{b5}
5.489, Pr, L_{b1}
5.497, Pr, L_{b4}
5.531, Ba, L_{g1}
5.542, Cs, L_{g2}
5.547, Tb, L_{l}
5.553, Cs, L_{g3}
5.589, Sm, L_{h}
5.593, Pr, L_{b3}
5.61, Sm, L_{a2}
5.613, Ce, L_{b2}
5.636, Sm, L_{a1}
5.66, Pr, L_{b6}
5.722, Nd, L_{b1}
5.723, Nd, L_{b4}
5.743, Dy, L_{l}
5.77, Mn, K_{a3}
5.792, La, L_{g1}
5.797, Ba, L_{g2}
5.809, Ba, L_{g3}
5.816, Eu, L_{a2}
5.817, Eu, L_{h}
5.829, Nd, L_{b3}
5.846, Eu, L_{a1}
5.851, Pr, L_{b2}
5.888, Mn, K_{a2}
5.891, La, L_{g6}
5.893, Nd, L_{b6}
5.899, Mn, K_{a1}
5.943, Ho, L_{l}
5.947, Cr, K_{b1}
5.947, Cr, K_{b3}
5.957, Pm, L_{b4}
5.961, Pm, L_{b1}
5.987, Cr, K_{b5}
5.989, Cr, K_{b4}
6.026, Gd, L_{a2}
6.05, Gd, L_{h}
6.054, Ce, L_{g1}
6.058, Gd, L_{a1}
6.061, La, L_{g2}
6.071, Pm, L_{b3}
6.075, La, L_{g3}
6.09, Nd, L_{b2}
6.128, Pm, L_{b6}
6.151, Er, L_{l}
6.196, Sm, L_{b4}
6.206, Sm, L_{b1}
6.239, Tb, L_{a2}
6.266, Fe, K_{a3}
6.273, Tb, L_{a1}
6.284, Tb, L_{h}
6.317, Sm, L_{b3}
6.326, Ce, L_{g2}
6.327, Pr, L_{g1}
6.339, Pm, L_{b2}
6.341, Tm, L_{l}
6.342, Ce, L_{g3}
6.371, Sm, L_{b6}
6.391, Fe, K_{a2}
6.404, Fe, K_{a1}
6.438, Eu, L_{b4}
6.457, Eu, L_{b1}
6.458, Dy, L_{a2}
6.49, Mn, K_{b3}
6.49, Mn, K_{b1}
6.495, Dy, L_{a1}
6.534, Dy, L_{h}
6.536, Mn, K_{b5}
6.539, Mn, K_{b4}
6.545, Yb, L_{l}
6.571, Eu, L_{b3}
6.587, Sm, L_{b2}
6.598, Pr, L_{g2}
6.604, Nd, L_{g1}
6.617, Eu, L_{b6}
6.617, Pr, L_{g3}
6.68, Ho, L_{a2}
6.687, Gd, L_{b4}
6.713, Gd, L_{b1}
6.72, Ho, L_{a1}
6.753, Lu, L_{l}
6.783, Co, K_{a3}
6.79, Ho, L_{h}
6.832, Gd, L_{b3}
6.844, Eu, L_{b2}
6.867, Gd, L_{b6}
6.883, Nd, L_{g2}
6.892, Pm, L_{g1}
6.901, Nd, L_{g3}
6.905, Er, L_{a2}
6.915, Co, K_{a2}
6.93, Co, K_{a1}
6.94, Tb, L_{b4}
6.949, Er, L_{a1}
6.96, Hf, L_{l}
6.977, Tb, L_{b1}
7.058, Fe, K_{b3}
7.058, Fe, K_{b1}
7.058, Er, L_{h}
7.097, Tb, L_{b3}
7.102, Gd, L_{b2}
7.108, Fe, K_{b5}
7.112, Fe, K_{b4}
7.116, Tb, L_{b6}
7.133, Tm, L_{a2}
7.173, Ta, L_{l}
7.18, Tm, L_{a1}
7.183, Sm, L_{g1}
7.186, Pm, L_{g2}
7.186, Pm, L_{g3}
7.204, Dy, L_{b4}
7.243, Gd, L_{b5}
7.248, Dy, L_{b1}
7.31, Tm, L_{h}
7.325, Ni, K_{a3}
7.367, Yb, L_{a2}
7.367, Tb, L_{b2}
7.37, Dy, L_{b3}
7.374, Dy, L_{b6}
7.387, W, L_{l}
7.416, Yb, L_{a1}
7.461, Ni, K_{a2}
7.471, Sm, L_{g2}
7.471, Ho, L_{b4}
7.478, Ni, K_{a1}
7.484, Eu, L_{g1}
7.489, Sm, L_{g3}
7.526, Ho, L_{b1}
7.58, Yb, L_{h}
7.604, Re, L_{l}
7.605, Lu, L_{a2}
7.635, Ho, L_{b6}
7.636, Dy, L_{b2}
7.649, Co, K_{b3}
7.649, Co, K_{b1}
7.653, Ho, L_{b3}
7.656, Lu, L_{a1}
7.706, Co, K_{b5}
7.709, Co, K_{b4}
7.745, Er, L_{b4}
7.768, Eu, L_{g2}
7.79, Gd, L_{g1}
7.795, Eu, L_{g3}
7.811, Er, L_{b1}
7.822, Os, L_{l}
7.844, Hf, L_{a2}
7.857, Lu, L_{h}
7.883, Cu, K_{a3}
7.899, Hf, L_{a1}
7.909, Er, L_{b6}
7.91, Ho, L_{b2}
7.93, Gd, L_{g6}
7.939, Er, L_{b3}
8.026, Tm, L_{b4}
8.028, Cu, K_{a2}
8.042, Ir, L_{l}
8.048, Cu, K_{a1}
8.087, Gd, L_{g2}
8.088, Ta, L_{a2}
8.102, Tm, L_{b1}
8.105, Gd, L_{g3}
8.105, Tb, L_{g1}
8.139, Hf, L_{h}
8.146, Ta, L_{a1}
8.176, Tm, L_{b6}
8.186, Er, L_{b2}
8.231, Tm, L_{b3}
8.265, Ni, K_{b3}
8.265, Ni, K_{b1}
8.266, Pt, L_{l}
8.313, Yb, L_{b4}
8.329, Ni, K_{b5}
8.333, Ni, K_{b4}
8.335, W, L_{a2}
8.398, W, L_{a1}
8.398, Tb, L_{g2}
8.402, Yb, L_{b1}
8.423, Tb, L_{g3}
8.426, Dy, L_{g1}
8.428, Ta, L_{h}
8.456, Yb, L_{b6}
8.465, Zn, K_{a3}
8.468, Tm, L_{b2}
8.494, Au, L_{l}
8.537, Yb, L_{b3}
8.586, Re, L_{a2}
8.607, Lu, L_{b4}
8.616, Zn, K_{a2}
8.639, Zn, K_{a1}
8.652, Re, L_{a1}
8.709, Lu, L_{b1}
8.714, Dy, L_{g2}
8.722, Hg, L_{l}
8.724, W, L_{h}
8.738, Lu, L_{b6}
8.752, Yb, L_{b2}
8.753, Dy, L_{g3}
8.757, Ho, L_{g1}
8.84, Os, L_{a2}
8.847, Lu, L_{b3}
8.905, Cu, K_{b3}
8.905, Hf, L_{b4}
8.905, Cu, K_{b1}
8.911, Os, L_{a1}
8.953, Tl, L_{l}
8.977, Cu, K_{b5}
8.979, Cu, K_{b4}
9.023, Hf, L_{b6}
9.023, Hf, L_{b1}
9.027, Re, L_{h}
9.044, Lu, L_{b2}
9.051, Ho, L_{g2}
9.069, Ga, K_{a3}
9.088, Ho, L_{g3}
9.088, Er, L_{g1}
9.099, Ir, L_{a2}
9.163, Hf, L_{b3}
9.175, Ir, L_{a1}
9.184, Pb, L_{l}
9.213, Ta, L_{b4}
9.225, Ga, K_{a2}
9.24, Lu, L_{b5}
9.252, Ga, K_{a1}
9.316, Ta, L_{b6}
9.337, Os, L_{h}
9.342, Hf, L_{b2}
9.343, Ta, L_{b1}
9.362, Pt, L_{a2}
9.385, Er, L_{g2}
9.42, Bi, L_{l}
9.431, Er, L_{g3}
9.437, Tm, L_{g1}
9.443, Pt, L_{a1}
9.488, Ta, L_{b3}
9.525, W, L_{b4}
9.554, Hf, L_{b5}
9.572, Zn, K_{b1}
9.572, Zn, K_{b3}
9.612, W, L_{b6}
9.628, Au, L_{a2}
9.646, Ta, L_{b2}
9.65, Ir, L_{h}
9.651, Zn, K_{b5}
9.658, Po, L_{l}
9.659, Zn, K_{b4}
